Wall time,Step,Value
1586945229.880829,5,252.13331604003906
1586945231.946214,6,246.48458862304688
1586945240.391459,10,240.9483184814453
1586945242.651208,11,240.06521606445312
1586945246.50437,13,238.88018798828125
1586945248.555323,14,229.1883544921875
1586945250.957943,15,240.08462524414062
1586945255.243811,17,229.76036071777344
1586945257.463574,18,225.4002227783203
1586945259.652848,19,230.32440185546875
1586945261.725961,20,227.73309326171875
1586945270.540729,24,223.9120330810547
1586945291.965065,33,219.70985412597656
1586945294.161164,34,209.0289764404297
1586945298.92982,36,210.3922119140625
1586945305.129912,39,201.42617797851562
1586945307.63153,40,202.58770751953125
1586945311.907868,42,200.35691833496094
1586945316.196605,44,192.79811096191406
1586945318.109158,45,195.7637481689453
1586945321.862537,47,192.40846252441406
1586945326.357898,49,187.1913299560547
1586945328.365515,50,181.16184997558594
1586945334.410491,53,184.98544311523438
1586945336.721992,54,179.20059204101562
1586945338.940593,55,177.47764587402344
1586945341.007495,56,181.3103485107422
1586945343.320868,57,175.99012756347656
1586945350.014512,60,173.45504760742188
1586945352.905349,61,169.4578399658203
1586945357.297122,63,168.5808868408203
1586945361.573279,65,164.3492431640625
1586945363.433879,66,164.63404846191406
1586945365.36874,67,158.47482299804688
1586945367.186628,68,165.44349670410156
1586945372.844731,71,164.55447387695312
1586945374.891385,72,165.52304077148438
1586945377.123858,73,159.84490966796875
1586945379.397986,74,156.72763061523438
1586945384.401979,76,154.6835479736328
1586945390.725247,79,153.5015869140625
1586945406.694745,84,153.87440490722656
1586945409.099762,85,158.88409423828125
1586945411.659783,86,153.27322387695312
1586945415.767192,87,146.0426788330078
1586945419.591407,88,148.83364868164062
1586945422.108716,89,143.94041442871094
1586945432.650721,94,150.78477478027344
1586945450.071021,102,137.4987335205078
1586945458.536625,105,139.36473083496094
1586945462.14842,106,140.69802856445312
1586945481.112445,113,152.7080841064453
1586945487.836967,116,130.8731231689453
1586945492.164726,118,133.6300506591797
1586945494.300032,119,134.91050720214844
1586945496.197457,120,143.8246307373047
1586945509.011206,124,135.34446716308594
1586945511.267959,125,147.5513458251953
1586945513.491255,126,130.1802520751953
1586945519.79689,129,132.89515686035156
1586945521.932018,130,148.4913330078125
1586945528.206808,133,133.30760192871094
1586945537.827544,137,139.0409393310547
